,nsites,formula_pretty,volume,density,symmetry__crystal_system,symmetry__symbol,symmetry__number,symmetry__point_group,symmetry__symprec,symmetry__version,formation_energy_per_atom,energy_above_hull,is_stable,band_gap,is_gap_direct,is_metal,ordering,total_magnetization,universal_anisotropy,theoretical,compounds_contain,compounds_contain_count
12,2,TiN,19.073073170918462,5.386845377479396,Cubic,Fm-3m,225,m-3m,0.1,2.0.2,-1.942667282708333,0.0,True,0.0,False,True,NM,4e-07,0.216,False,Ti N,2
13,2,TiN,18.385195311437567,5.588392959914372,Cubic,Pm-3m,221,m-3m,0.1,2.0.2,-1.0523964377083337,0.8902708449999999,False,0.0,False,True,NM,0.0852661,11.616,True,Ti N,2
14,2,TiN,24.372520928461743,4.21555473669145,Cubic,F-43m,216,-43m,0.1,2.0.2,-1.640792662708332,0.3018746200000013,False,0.0,False,True,NM,0.0007663,0.089,True,Ti N,2
15,6,TiN2,50.32618346420951,5.007427939726197,Tetragonal,I4/mcm,140,4/mmm,0.1,2.0.2,-1.0192267984722223,0.2758847233333341,False,0.0,False,True,NM,2e-06,,True,Ti N,2
16,40,Ca2O3,648.496100209335,2.62521308091353,Triclinic,P1,1,1,0.1,2.0.2,-2.369880835500001,0.2142064744999992,False,0.1968999999999999,False,False,FM,16.0010199,,True,Ca O,2
17,4,CaO,94.70419254893255,1.966517235342912,Tetragonal,I4/mmm,139,4/mmm,0.1,2.0.2,-3.0201689000000016,0.2099402374999996,False,1.8293,False,False,NM,2e-06,,True,Ca O,2
18,8,CaO,186.11897103150005,2.0012729049011297,Orthorhombic,Cmce,64,mmm,0.1,2.0.2,-3.020339282500002,0.2097698549999993,False,2.0869,True,False,NM,0.000719,,False,Ca O,2
19,8,CaO,125.60681580389334,2.965403202282866,Cubic,Fd-3m,227,m-3m,0.1,2.0.2,-0.5019770862500019,2.72813205125,False,0.0,False,True,FM,2.0160521,,True,Ca O,2
20,100,CaO,1656.7853673010254,2.8102225940421364,Triclinic,P1,1,1,0.1,2.0.2,-2.919007296100001,0.3111018413999993,False,2.1337,False,False,NM,0.0,,True,Ca O,2
21,100,CaO,1670.947702542987,2.786404185829366,Triclinic,P1,1,1,0.1,2.0.2,-2.8886059379000018,0.3415031995999982,False,1.9733,False,False,NM,0.0023111,,True,Ca O,2
